Food_Item_ID,foodcode,foodname,Protein (g),Total Fat (g), Carbohydrate (g), Energy (kcal)
1527,28345030,"Cream of chicken soup, reduced sodium, made with water",0.91,0.66,4.82,29
1528,28345040,"Cream of chicken soup, canned, reduced sodium, condensed",1.8,2.02,7.4599,55
1529,28345120,"Cream of chicken soup, made with milk",2.83,3.8399,6.0099,70
1530,28345130,"Cream of chicken soup, made with water",1.21,2.93,3.6299,46
1531,28345140,"Cream of chicken soup, canned, condensed",2.3799,5.7699,7.16,90
6011,28345160,"Cream of chicken and mushroom soup, prepared with milk",2.4399,3.37,8.4,75
6012,28345170,Duck soup,9.91,3.2,1.11,75
5363,28349999,"Broth, chicken",0.43,0.21,0.43,5
1532,28350040,"Fish stock, home recipe",2.2599,0.81,0,17
1533,28350050,Fish chowder,7.96,6.3399,6.0899,113
1534,28350120,"Crab soup, tomato-base",4.28,0.34,5.1299,39
1535,28350220,"Clam chowder, Manhattan",3.02,1.4098,7.8399,56
6013,28350310,"Turtle soup, with vegetables",4.7698,0.94,3.74,42
1536,28351110,"Fish and vegetable soup, no potatoes",5.15,1.26,1.47,39
1537,28351120,"Fish soup, with potatoes",5.4699,1.31,2.64,46
1538,28355120,"Clam chowder, New England, prepared with milk",3.22,1.98,7.5598,61
1539,28355130,"Clam chowder, New England, prepared with water",1.55,1.01,5.0499,35
1540,28355140,"Clam chowder, New England, canned, reduced sodium, ready-to-serve",2.33,4.23,5.6799,70
1541,28355210,"Cream of crab soup, made with milk",5.0198,2.56,1.7,51
1542,28355250,Lobster bisque,5.2199,2.58,1.7,52
6014,28355260,Lobster gumbo,6.2,1.77,4.6398,59
1543,28355310,Oyster stew,4.2,5.0598,4.2199,79
6015,28355350,Salmon chowder,5.3399,3.3199,1.7,59
1544,28355420,"Cream of shrimp soup, made milk",2.7799,3.23,5.6398,61
1545,28355430,"Cream of shrimp soup, made with water",1.11,2.0699,3.27,36
1546,28355440,Shrimp gumbo,6.5198,1.8898,4.6398,61
1547,28355450,Seafood soup with potatoes and dark-green leafy vegetables,4.4298,1.21,4.11,45
1548,28355460,"Seafood soup with potatoes, no carrots and/or dark-green vegetables",4.5099,1.23,3.93,45
1549,28355470,"Seafood soup with carrots and/or dark-green leafy vegetables, no potatoes",4.5598,1.28,3.06,42
1550,28355480,"Seafood soup with corn, no carrots, dark-green vegetables, or potatoes",4.65,1.3,2.8399,42
1551,28400000,"Gelatin drink, powder, unflavored, unsweetened, reconstituted",2.02,0,0,8
1552,28401200,"Gelatin drink, powder, flavored, with low-calorie sweetener, reconstituted",5.0999,0.01,0,20
1553,28410000,Bee pollen,24.1,4.9,43.5,314
1554,28500000,"Gravy, poultry, canned or dry mix",1.9299,5.71,5.4199,79
6016,28500030,"Gravy, poultry, low sodium",3.7999,2.3999,6.16,53
1555,28500040,"Gravy, beef, canned or dry mix",3.75,2.3599,4.8098,53
1556,28500050,"Gravy, giblet",4.7199,4.07,4.73,75
6017,28500060,"Gravy, beef, low sodium",3.7999,2.3999,6.16,53
1557,28500070,"Gravy, beef, home recipe made with meat drippings",1.6698,9.82,2.4599,106
1558,28500070,"Gravy, beef, home recipe made with oil",1.4298,11.22,2.4399,115
1559,28500070,"Gravy, beef, home recipe made without fat",1.58,0.27,2.71,20
1560,28500070,"Gravy, beef, home recipe made with butter",1.52,9.48,2.4399,100
1561,28500080,"Gravy, poultry, home recipe made with meat drippings",1.1798,9.81,2.8399,105
1562,28500080,"Gravy, poultry, home recipe made without fat",1.05,0.26,3.14,19
1563,28500080,"Gravy, poultry, home recipe made with vegetable oil",0.94,11.21,2.83,115
1564,28500080,"Gravy, poultry, home recipe made with butter",1.04,9.47,2.8199,99
1565,28500100,"Gravy, mushroom, canned or dry mix",0.82,0.33,5.33,27
1566,28500150,"Gravy, redeye",0.55,4.5899,0.01,44
6018,28520000,Chinese brown gravy,0.82,0.28,9.8399,45
1567,28520100,Oyster sauce,1.35,0.25,10.92,51
1568,28522000,Mole poblano (sauce),2.85,10.25,11.84,139
1569,28522050,Mole verde (sauce),4.2698,5.74,5.48,83
1570,31101010,"Egg, raw",12.56,9.5099,0.72,143
6019,31103010,"Egg, hardboiled, with salt added",12.47,9.4398,0.72,142
6020,31103010,"Egg, hardboiled, no salt added",12.47,9.4398,0.72,142
1578,31105010,"Eggs, fried, no fat added",14.17,10.73,0.81,161
6021,31105020,"Egg, fried in margarine",13.25,16.05,0.81,204
6022,31105030,"Egg, fried in oil",13.27,17.2398,0.76,215
6023,31105040,"Egg, fried in butter",13.3,16.0798,0.76,204
6024,31105060,"Egg, fried in animal fat",13.47,16.35,0.76,209
6025,31105080,"Egg, fried with nonstick spray",14.08,11.1899,0.95,166
1579,31106010,"Egg, baked, no fat added",11.48,8.5398,1.86,134
1580,31106020,"Egg, baked, with margarine",10.9,12.6999,1.81,168
1581,31106020,"Egg, baked, with butter",13.145,15.676,0.816,195.983
1582,31106020,"Egg, baked, with vegetable oil ",13.1199,16.696,0.814,205.13
1583,31107000,"Egg, pickled",12.49,10.5299,1.11,154
1585,31109010,"Egg whites, cooked, no fat added",10.8599,0.17,0.73,48
1586,31109020,"Egg whites, cooked, with margarine",10.22,4.9299,0.72,87
1588,31111010,"Egg yolks, cooked, no fat added",17.89,29.94,4.0499,363
1589,31111020,"Egg yolks, cooked, with margarine",16.76,35.24,3.79,404
1590,31201000,"Duck egg, cooked",14.4499,15.5299,1.6398,209
1591,31202000,"Goose egg, cooked",15.64,14.97,1.52,209
1592,31203000,"Quail egg, canned",14.72,12.51,0.46,178
1593,32101000,"Egg, creamed",7.7,10.59,5.57,150
1594,32101500,"Eggs Benedict, with margarine",12.65,22.55,8.15,285
1595,32101500,"Eggs Benedict, no fat added",12.204,20.3799,8.458,264.9309
1596,32101500,"Eggs Benedict, with vegetable oil ",11.964,21.9869,8.2919,277.4669
6026,32101530,Egg curry,3.33,4.2999,7.11,78
1597,32102000,"Egg, deviled",11.52,15.9,1.07,198
1598,32103000,"Egg salad, with mayonnaise  ",10.26,23.14,1.01,257
1599,32103000,"Egg salad, with low calorie mayonnaise-type dressing (miracle whip light)",9.0139,13.117,8.003,187.217
1600,32103000,"Egg salad, with mayonnaise-type dressing (miracle whip)",8.983,17.532,8.0649,226.249
1601,32103000,"Egg salad, with fat free mayonnaise-type dressing (miracle whip free)",8.5419,8.0229,5.7679,131.6169
1602,32103000,"Egg salad, with cholesterol free mayonnaise ",9.025,17.419,2.7989,208.215
1603,32103000,"Egg salad, with low calorie mayonnaise",8.637,13.315,5.8529,179.0869
1604,32103000,"Egg salad, with imitation mayonnaise",8.7449,13.239,5.722,178.404
1642,32105180,Huevos rancheros,6.8799,6.48,8.7599,118
1643,32105190,"Egg casserole with bread, cheese, milk and sausage",12.58,14.8698,10.74,228
1644,32105210,Chicken egg foo yung ,13,6.53,4.5198,132
1645,32105220,Pork egg foo yung ,13.2799,8.0398,4.5198,147
1646,32105230,Shrimp egg foo yung ,11.68,5.95,4.94,123
1647,32105240,Beef egg foo yung ,13.81,7.87,4.5198,146
1648,32105310,"Ripe plantain omelet, Puerto Rican style ",6.58,14.77,18.09,224
1649,32105330,"Scrambled eggs with jerked beef, Puerto Rican style",21.46,17.78,2.98,260
1650,32110100,"Eggs a la Malaguena, Puerto Rican style",8.46,4.6299,4.98,96
1651,32110150,Shrimp-egg patty ,25.26,31.75,10.48,434
1652,32120100,"Egg custard, with water and sugar, Puerto Rican style",5.3799,7.9,58.9799,323
1653,32120200,Zabaglione,4.6699,7.65,29.0598,255
